APT,VFR,IFR,WMAX,START,END,MAXLENGTH,NUM_SITTING,NUM_AIR,DISC,CASE,AIRCOST,LOOKAHEAD,NUM_TIME_PERIODS,EARLY_CHANGE,LATE_CHANGE,PROB_ALT,DIVERT_FACTOR,SOLVETIME,OBJECTIVE
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T12:00-04:00,2,228,83,15,1,3.0,0,20,8,8,false,1000.0,0.006811346,0.0
ATL,126,104,-1,2017-07-15T07:00-04:00,2017-07-15T12:00-04:00,2,228,83,15,2,3.0,0,20,8,8,false,1000.0,3.31276E-4,0.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T12:00-04:00,2,228,83,15,3,2.0,0,20,8,8,false,1000.0,3.08928E-4,0.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T12:00-04:00,2,228,83,15,4,3.0,0,20,8,8,true,1000.0,1.80296E-4,0.0
ATL,126,104,0,2017-07-15T07:00-04:00,2017-07-15T12:00-04:00,2,228,83,15,5,3.0,0,20,8,8,false,1000.0,1.80027E-4,0.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T12:00-04:00,2,228,83,15,6,3.0,2,20,8,8,false,1000.0,1.63404E-4,0.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T13:00-04:00,3,279,83,15,1,3.0,0,24,8,12,false,1000.0,2.027372,11.0
ATL,126,104,-1,2017-07-15T07:00-04:00,2017-07-15T13:00-04:00,3,279,83,15,2,3.0,0,24,8,12,false,1000.0,3.260361777,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T13:00-04:00,3,279,83,15,3,2.0,0,24,8,12,false,1000.0,1.930105338,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T13:00-04:00,3,279,83,15,4,3.0,0,24,8,12,true,1000.0,2.139811924,4.4
ATL,126,104,0,2017-07-15T07:00-04:00,2017-07-15T13:00-04:00,3,279,83,15,5,3.0,0,24,8,12,false,1000.0,1.889053084,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T13:00-04:00,3,279,83,15,6,3.0,2,24,8,12,false,1000.0,3.394136212,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T14:00-04:00,4,330,83,15,1,3.0,0,28,8,16,false,1000.0,5.279693192,11.0
ATL,126,104,-1,2017-07-15T07:00-04:00,2017-07-15T14:00-04:00,4,330,83,15,2,3.0,0,28,8,16,false,1000.0,5.675453944,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T14:00-04:00,4,330,83,15,3,2.0,0,28,8,16,false,1000.0,5.795833346,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T14:00-04:00,4,330,83,15,4,3.0,0,28,8,16,true,1000.0,5.045026896,11.000000000000004
ATL,126,104,0,2017-07-15T07:00-04:00,2017-07-15T14:00-04:00,4,330,83,15,5,3.0,0,28,8,16,false,1000.0,5.136284106,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T14:00-04:00,4,330,83,15,6,3.0,2,28,8,16,false,1000.0,7.711879243,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T15:00-04:00,5,393,83,15,1,3.0,0,32,8,20,false,1000.0,17.523120307,11.000000000000005
ATL,126,104,-1,2017-07-15T07:00-04:00,2017-07-15T15:00-04:00,5,393,83,15,2,3.0,0,32,8,20,false,1000.0,18.599387668,11.000000000000002
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T15:00-04:00,5,393,83,15,3,2.0,0,32,8,20,false,1000.0,16.646836165,10.999999999999998
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T15:00-04:00,5,393,83,15,4,3.0,0,32,8,20,true,1000.0,16.88724286,10.99999999999999
ATL,126,104,0,2017-07-15T07:00-04:00,2017-07-15T15:00-04:00,5,393,83,15,5,3.0,0,32,8,20,false,1000.0,16.907578958,10.999999999999998
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T15:00-04:00,5,393,83,15,6,3.0,2,32,8,20,false,1000.0,16.588691506,11.000000000000005
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T16:00-04:00,6,463,83,15,1,3.0,0,36,8,24,false,1000.0,37.937531905,11.0
ATL,126,104,-1,2017-07-15T07:00-04:00,2017-07-15T16:00-04:00,6,463,83,15,2,3.0,0,36,8,24,false,1000.0,38.098463175,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T16:00-04:00,6,463,83,15,3,2.0,0,36,8,24,false,1000.0,37.681357607,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T16:00-04:00,6,463,83,15,4,3.0,0,36,8,24,true,1000.0,37.6202062,10.999999999999998
ATL,126,104,0,2017-07-15T07:00-04:00,2017-07-15T16:00-04:00,6,463,83,15,5,3.0,0,36,8,24,false,1000.0,38.114374882,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T16:00-04:00,6,463,83,15,6,3.0,2,36,8,24,false,1000.0,38.103763617,11.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-15T22:00-04:00,2,102,129,15,1,3.0,0,20,8,8,false,1000.0,3.12704E-4,0.0
ATL,126,104,-1,2017-07-15T17:00-04:00,2017-07-15T22:00-04:00,2,102,129,15,2,3.0,0,20,8,8,false,1000.0,1.66235E-4,0.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-15T22:00-04:00,2,102,129,15,3,2.0,0,20,8,8,false,1000.0,1.39398E-4,0.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-15T22:00-04:00,2,102,129,15,4,3.0,0,20,8,8,true,1000.0,1.18862E-4,0.0
ATL,126,104,0,2017-07-15T17:00-04:00,2017-07-15T22:00-04:00,2,102,129,15,5,3.0,0,20,8,8,false,1000.0,1.70716E-4,0.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-15T22:00-04:00,2,102,129,15,6,3.0,2,20,8,8,false,1000.0,8.7208E-5,0.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-15T23:00-04:00,3,119,129,15,1,3.0,0,24,8,12,false,1000.0,1.217926956,4.0
ATL,126,104,-1,2017-07-15T17:00-04:00,2017-07-15T23:00-04:00,3,119,129,15,2,3.0,0,24,8,12,false,1000.0,1.205742681,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-15T23:00-04:00,3,119,129,15,3,2.0,0,24,8,12,false,1000.0,1.242854263,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-15T23:00-04:00,3,119,129,15,4,3.0,0,24,8,12,true,1000.0,1.225174254,1.6000000000000003
ATL,126,104,0,2017-07-15T17:00-04:00,2017-07-15T23:00-04:00,3,119,129,15,5,3.0,0,24,8,12,false,1000.0,2.633448222,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-15T23:00-04:00,3,119,129,15,6,3.0,2,24,8,12,false,1000.0,1.331149712,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T00:00-04:00,4,127,129,15,1,3.0,0,28,8,16,false,1000.0,3.93316414,4.0
ATL,126,104,-1,2017-07-15T17:00-04:00,2017-07-16T00:00-04:00,4,127,129,15,2,3.0,0,28,8,16,false,1000.0,3.981697044,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T00:00-04:00,4,127,129,15,3,2.0,0,28,8,16,false,1000.0,3.943754964,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T00:00-04:00,4,127,129,15,4,3.0,0,28,8,16,true,1000.0,3.956760508,3.999999999999999
ATL,126,104,0,2017-07-15T17:00-04:00,2017-07-16T00:00-04:00,4,127,129,15,5,3.0,0,28,8,16,false,1000.0,4.235363095,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T00:00-04:00,4,127,129,15,6,3.0,2,28,8,16,false,1000.0,3.8859334,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,1,3.0,0,32,8,20,false,1000.0,9.712947002,4.0
ATL,126,104,-1,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,2,3.0,0,32,8,20,false,1000.0,10.627240999,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,3,2.0,0,32,8,20,false,1000.0,10.419603534,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,4,3.0,0,32,8,20,true,1000.0,10.59650421,4.000000000000002
ATL,126,104,0,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,5,3.0,0,32,8,20,false,1000.0,17.790038209,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,6,3.0,2,32,8,20,false,1000.0,10.11212332,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,1,3.0,0,36,8,24,false,1000.0,24.658305217,4.0
ATL,126,104,-1,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,2,3.0,0,36,8,24,false,1000.0,24.207823922,4.0
