APT,VFR,IFR,WMAX,START,END,MAXLENGTH,NUM_SITTING,NUM_AIR,DISC,CASE,AIRCOST,LOOKAHEAD,NUM_TIME_PERIODS,EARLY_CHANGE,LATE_CHANGE,PROB_ALT,DIVERT_FACTOR,SOLVETIME,OBJECTIVE
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T12:00-04:00,2,228,83,5,1,3.0,0,60,24,24,false,1000.0,0.00856639,0.0
ATL,126,104,-1,2017-07-15T07:00-04:00,2017-07-15T12:00-04:00,2,228,83,5,2,3.0,0,60,24,24,false,1000.0,9.13138E-4,0.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T12:00-04:00,2,228,83,5,3,2.0,0,60,24,24,false,1000.0,0.001035518,0.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T12:00-04:00,2,228,83,5,4,3.0,0,60,24,24,true,1000.0,5.66702E-4,0.0
ATL,126,104,0,2017-07-15T07:00-04:00,2017-07-15T12:00-04:00,2,228,83,5,5,3.0,0,60,24,24,false,1000.0,5.04492E-4,0.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T12:00-04:00,2,228,83,5,6,3.0,6,60,24,24,false,1000.0,4.76818E-4,0.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T13:00-04:00,3,279,83,5,1,3.0,0,72,24,36,false,1000.0,420.736421524,74.0000000000001
ATL,126,104,-1,2017-07-15T07:00-04:00,2017-07-15T13:00-04:00,3,279,83,5,2,3.0,0,72,24,36,false,1000.0,396.369381764,74.00000000000017
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T13:00-04:00,3,279,83,5,3,2.0,0,72,24,36,false,1000.0,395.987041207,72.00000000000006
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T13:00-04:00,3,279,83,5,4,3.0,0,72,24,36,true,1000.0,382.021402264,29.60000000000014
ATL,126,104,0,2017-07-15T07:00-04:00,2017-07-15T13:00-04:00,3,279,83,5,5,3.0,0,72,24,36,false,1000.0,430.551468667,72068.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T13:00-04:00,3,279,83,5,6,3.0,6,72,24,36,false,1000.0,391.592760963,74.00000000000021
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T14:00-04:00,4,330,83,5,1,3.0,0,84,24,48,false,1000.0,1821.673180922,NaN
ATL,126,104,-1,2017-07-15T07:00-04:00,2017-07-15T14:00-04:00,4,330,83,5,2,3.0,0,84,24,48,false,1000.0,1562.406102797,NaN
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T14:00-04:00,4,330,83,5,3,2.0,0,84,24,48,false,1000.0,100.499744705,NaN
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T14:00-04:00,4,330,83,5,4,3.0,0,84,24,48,true,1000.0,48.183335459,NaN
ATL,126,104,0,2017-07-15T07:00-04:00,2017-07-15T14:00-04:00,4,330,83,5,5,3.0,0,84,24,48,false,1000.0,99.857887577,NaN
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T14:00-04:00,4,330,83,5,6,3.0,6,84,24,48,false,1000.0,1803.705128871,NaN
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T15:00-04:00,5,393,83,5,1,3.0,0,96,24,60,false,1000.0,104.582355196,NaN
ATL,126,104,-1,2017-07-15T07:00-04:00,2017-07-15T15:00-04:00,5,393,83,5,2,3.0,0,96,24,60,false,1000.0,278.167145197,NaN
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T15:00-04:00,5,393,83,5,3,2.0,0,96,24,60,false,1000.0,1850.975112328,NaN
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T15:00-04:00,5,393,83,5,4,3.0,0,96,24,60,true,1000.0,1842.220620302,NaN
ATL,126,104,0,2017-07-15T07:00-04:00,2017-07-15T15:00-04:00,5,393,83,5,5,3.0,0,96,24,60,false,1000.0,1841.387493452,NaN
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T15:00-04:00,5,393,83,5,6,3.0,6,96,24,60,false,1000.0,1837.947878117,NaN
