APT,VFR,IFR,WMAX,START,END,MAXLENGTH,NUM_SITTING,NUM_AIR,DISC,CASE,AIRCOST,LOOKAHEAD,NUM_TIME_PERIODS,EARLY_CHANGE,LATE_CHANGE,PROB_ALT,DIVERT_FACTOR,SOLVETIME,OBJECTIVE
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T12:00-04:00,2,228,83,15,1,3.0,0,20,8,8,false,1000.0,0.009095715,0.0
ATL,126,104,-1,2017-07-15T07:00-04:00,2017-07-15T12:00-04:00,2,228,83,15,2,3.0,0,20,8,8,false,1000.0,0.00121495,0.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T12:00-04:00,2,228,83,15,3,2.0,0,20,8,8,false,1000.0,0.001069727,0.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T12:00-04:00,2,228,83,15,4,3.0,0,20,8,8,true,1000.0,0.001047001,0.0
ATL,126,104,0,2017-07-15T07:00-04:00,2017-07-15T12:00-04:00,2,228,83,15,5,3.0,0,20,8,8,false,1000.0,9.8046E-4,0.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T12:00-04:00,2,228,83,15,6,3.0,2,20,8,8,false,1000.0,9.51952E-4,0.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T13:00-04:00,3,279,83,15,1,3.0,0,24,8,12,false,1000.0,1.65965125,11.0
ATL,126,104,-1,2017-07-15T07:00-04:00,2017-07-15T13:00-04:00,3,279,83,15,2,3.0,0,24,8,12,false,1000.0,1.604014834,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T13:00-04:00,3,279,83,15,3,2.0,0,24,8,12,false,1000.0,1.617494919,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T13:00-04:00,3,279,83,15,4,3.0,0,24,8,12,true,1000.0,1.621614263,4.400000000000001
ATL,126,104,0,2017-07-15T07:00-04:00,2017-07-15T13:00-04:00,3,279,83,15,5,3.0,0,24,8,12,false,1000.0,1.555052779,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T13:00-04:00,3,279,83,15,6,3.0,2,24,8,12,false,1000.0,1.7526709,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T14:00-04:00,4,330,83,15,1,3.0,0,28,8,16,false,1000.0,5.438478764,11.0
ATL,126,104,-1,2017-07-15T07:00-04:00,2017-07-15T14:00-04:00,4,330,83,15,2,3.0,0,28,8,16,false,1000.0,5.308362717,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T14:00-04:00,4,330,83,15,3,2.0,0,28,8,16,false,1000.0,5.409198795,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T14:00-04:00,4,330,83,15,4,3.0,0,28,8,16,true,1000.0,5.382059165,11.0
ATL,126,104,0,2017-07-15T07:00-04:00,2017-07-15T14:00-04:00,4,330,83,15,5,3.0,0,28,8,16,false,1000.0,5.550109944,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T14:00-04:00,4,330,83,15,6,3.0,2,28,8,16,false,1000.0,7.710662951,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T15:00-04:00,5,393,83,15,1,3.0,0,32,8,20,false,1000.0,14.39060501,10.999999999999998
ATL,126,104,-1,2017-07-15T07:00-04:00,2017-07-15T15:00-04:00,5,393,83,15,2,3.0,0,32,8,20,false,1000.0,14.50879308,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T15:00-04:00,5,393,83,15,3,2.0,0,32,8,20,false,1000.0,15.431783423,10.999999999999998
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T15:00-04:00,5,393,83,15,4,3.0,0,32,8,20,true,1000.0,16.474780168,11.0
ATL,126,104,0,2017-07-15T07:00-04:00,2017-07-15T15:00-04:00,5,393,83,15,5,3.0,0,32,8,20,false,1000.0,15.799038456,10.999999999999998
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T15:00-04:00,5,393,83,15,6,3.0,2,32,8,20,false,1000.0,15.591595269,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T16:00-04:00,6,463,83,15,1,3.0,0,36,8,24,false,1000.0,51.506776275,11.0
ATL,126,104,-1,2017-07-15T07:00-04:00,2017-07-15T16:00-04:00,6,463,83,15,2,3.0,0,36,8,24,false,1000.0,36.584354804,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T16:00-04:00,6,463,83,15,3,2.0,0,36,8,24,false,1000.0,47.078667099,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T16:00-04:00,6,463,83,15,4,3.0,0,36,8,24,true,1000.0,35.388618502,10.999999999999993
ATL,126,104,0,2017-07-15T07:00-04:00,2017-07-15T16:00-04:00,6,463,83,15,5,3.0,0,36,8,24,false,1000.0,45.839209563,11.0
ATL,126,104,22,2017-07-15T07:00-04:00,2017-07-15T16:00-04:00,6,463,83,15,6,3.0,2,36,8,24,false,1000.0,33.470885869,11.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-15T22:00-04:00,2,102,129,15,1,3.0,0,20,8,8,false,1000.0,5.81022E-4,0.0
ATL,126,104,-1,2017-07-15T17:00-04:00,2017-07-15T22:00-04:00,2,102,129,15,2,3.0,0,20,8,8,false,1000.0,5.33294E-4,0.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-15T22:00-04:00,2,102,129,15,3,2.0,0,20,8,8,false,1000.0,5.33361E-4,0.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-15T22:00-04:00,2,102,129,15,4,3.0,0,20,8,8,true,1000.0,5.2064E-4,0.0
ATL,126,104,0,2017-07-15T17:00-04:00,2017-07-15T22:00-04:00,2,102,129,15,5,3.0,0,20,8,8,false,1000.0,5.69623E-4,0.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-15T22:00-04:00,2,102,129,15,6,3.0,2,20,8,8,false,1000.0,5.24144E-4,0.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-15T23:00-04:00,3,119,129,15,1,3.0,0,24,8,12,false,1000.0,1.2970469,4.0
ATL,126,104,-1,2017-07-15T17:00-04:00,2017-07-15T23:00-04:00,3,119,129,15,2,3.0,0,24,8,12,false,1000.0,1.258991342,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-15T23:00-04:00,3,119,129,15,3,2.0,0,24,8,12,false,1000.0,1.404004016,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-15T23:00-04:00,3,119,129,15,4,3.0,0,24,8,12,true,1000.0,1.397442979,1.6000000000000003
ATL,126,104,0,2017-07-15T17:00-04:00,2017-07-15T23:00-04:00,3,119,129,15,5,3.0,0,24,8,12,false,1000.0,1.307592402,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-15T23:00-04:00,3,119,129,15,6,3.0,2,24,8,12,false,1000.0,1.410465607,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T00:00-04:00,4,127,129,15,1,3.0,0,28,8,16,false,1000.0,4.207576836,4.0
ATL,126,104,-1,2017-07-15T17:00-04:00,2017-07-16T00:00-04:00,4,127,129,15,2,3.0,0,28,8,16,false,1000.0,4.251461924,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T00:00-04:00,4,127,129,15,3,2.0,0,28,8,16,false,1000.0,4.282824652,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T00:00-04:00,4,127,129,15,4,3.0,0,28,8,16,true,1000.0,4.228659925,3.999999999999999
ATL,126,104,0,2017-07-15T17:00-04:00,2017-07-16T00:00-04:00,4,127,129,15,5,3.0,0,28,8,16,false,1000.0,7.684010447,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T00:00-04:00,4,127,129,15,6,3.0,2,28,8,16,false,1000.0,4.166597979,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,1,3.0,0,32,8,20,false,1000.0,16.794334933,4.0
ATL,126,104,-1,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,2,3.0,0,32,8,20,false,1000.0,16.430774997,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,3,2.0,0,32,8,20,false,1000.0,16.733512318,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,4,3.0,0,32,8,20,true,1000.0,16.761003318,4.000000000000001
ATL,126,104,0,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,5,3.0,0,32,8,20,false,1000.0,11.666735304,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T01:00-04:00,5,128,129,15,6,3.0,2,32,8,20,false,1000.0,15.848026541,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,1,3.0,0,36,8,24,false,1000.0,27.614705268,4.0
ATL,126,104,-1,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,2,3.0,0,36,8,24,false,1000.0,27.581124671,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,3,2.0,0,36,8,24,false,1000.0,27.584610321,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,4,3.0,0,36,8,24,true,1000.0,27.683927541,3.999999999999999
ATL,126,104,0,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,5,3.0,0,36,8,24,false,1000.0,27.334184741,4.0
ATL,126,104,22,2017-07-15T17:00-04:00,2017-07-16T02:00-04:00,6,128,129,15,6,3.0,2,36,8,24,false,1000.0,26.796484643,4.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,94,54,15,1,3.0,0,20,8,8,false,1000.0,8.07992E-4,0.0
DFW,159,85,-1,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,94,54,15,2,3.0,0,20,8,8,false,1000.0,7.25028E-4,0.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,94,54,15,3,2.0,0,20,8,8,false,1000.0,6.68238E-4,0.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,94,54,15,4,3.0,0,20,8,8,true,1000.0,7.15745E-4,0.0
DFW,159,85,0,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,94,54,15,5,3.0,0,20,8,8,false,1000.0,7.18091E-4,0.0
DFW,159,85,74,2017-07-15T07:00-05:00,2017-07-15T12:00-05:00,2,94,54,15,6,3.0,2,20,8,8,false,1000.0,7.35936E-4,0.0
